Point;Latitude;Longitude;Contexte;Période;ATX35;ATXND;ATNND;
6491;44.7877;1.1746;RCP4.5;H2;5.02;40;-15;
6492;44.7887;1.2756;RCP4.5;H2;4.4;40;-14;
6493;44.7896;1.3766;RCP4.5;H2;6.27;41;-15;
6494;44.7904;1.4777;RCP4.5;H2;8.25;42;-16;
6495;44.7912;1.5787;RCP4.5;H2;8.35;41;-16;
6496;44.7918;1.6797;RCP4.5;H2;7.62;41;-16;
6497;44.7924;1.7808;RCP4.5;H2;6.67;43;-16;
6498;44.7928;1.8818;RCP4.5;H2;4.12;42;-16;
6499;44.7932;1.9829;RCP4.5;H2;4.03;43;-17;
6500;44.7935;2.0839;RCP4.5;H2;2.23;44;-18;
6501;44.7937;2.185;RCP4.5;H2;2.88;44;-17;
6502;44.7938;2.286;RCP4.5;H2;2.57;45;-17;
6503;44.7938;2.3871;RCP4.5;H2;1.46;45;-17;
6504;44.7937;2.4881;RCP4.5;H2;1.5;45;-17;
6505;44.7935;2.5892;RCP4.5;H2;2.02;46;-17;
6506;44.7932;2.6902;RCP4.5;H2;3.04;47;-15;
6507;44.7928;2.7913;RCP4.5;H2;1.4;52;-15;
6508;44.7924;2.8923;RCP4.5;H2;0.3;55;-16;
6509;44.7918;2.9934;RCP4.5;H2;0.12;56;-15;
6510;44.7912;3.0944;RCP4.5;H2;0.32;54;-15;
6511;44.7904;3.1955;RCP4.5;H2;0.1;54;-15;
6512;44.7896;3.2965;RCP4.5;H2;0.58;55;-15;
6513;44.7887;3.3975;RCP4.5;H2;0.45;54;-14;
6514;44.7877;3.4986;RCP4.5;H2;0;54;-16;
6515;44.7866;3.5996;RCP4.5;H2;0.17;55;-15;
6516;44.7854;3.7006;RCP4.5;H2;0.46;53;-14;
6517;44.7841;3.8016;RCP4.5;H2;0.52;52;-15;
6518;44.7827;3.9026;RCP4.5;H2;0.07;53;-15;
6519;44.7812;4.0037;RCP4.5;H2;0.01;54;-15;
6520;44.7796;4.1047;RCP4.5;H2;0.05;56;-15;
6521;44.778;4.2057;RCP4.5;H2;0.01;58;-15;
6522;44.7762;4.3066;RCP4.5;H2;0.1;53;-15;
6523;44.7744;4.4076;RCP4.5;H2;0.55;52;-17;
6524;44.7724;4.5086;RCP4.5;H2;2.63;53;-14;
6525;44.7704;4.6096;RCP4.5;H2;5.35;49;-12;
6526;44.7683;4.7105;RCP4.5;H2;5.58;49;-13;
6527;44.766;4.8115;RCP4.5;H2;6.27;47;-12;
6528;44.7637;4.9124;RCP4.5;H2;5.8;47;-12;
6529;44.7613;5.0134;RCP4.5;H2;4.63;48;-13;
6530;44.7588;5.1143;RCP4.5;H2;5.88;50;-14;
6531;44.7562;5.2152;RCP4.5;H2;5.06;52;-15;
6532;44.7536;5.3161;RCP4.5;H2;6.07;53;-14;
6533;44.7508;5.417;RCP4.5;H2;2.33;59;-14;
6534;44.7479;5.5179;RCP4.5;H2;0;58;-14;
6535;44.745;5.6188;RCP4.5;H2;0;58;-14;
6536;44.7419;5.7197;RCP4.5;H2;0.25;64;-13;
6537;44.7388;5.8205;RCP4.5;H2;0;62;-12;
6538;44.7355;5.9214;RCP4.5;H2;0.01;66;-12;
6539;44.7322;6.0222;RCP4.5;H2;0.3;64;-14;
6540;44.7288;6.123;RCP4.5;H2;0;60;-14;
6541;44.7253;6.2239;RCP4.5;H2;0;56;-13;
6542;44.7217;6.3247;RCP4.5;H2;0;56;-14;
6543;44.718;6.4254;RCP4.5;H2;0;55;-13;
6544;44.7142;6.5262;RCP4.5;H2;1.96;55;-13;
6545;44.7103;6.627;RCP4.5;H2;2.07;62;-12;
6546;44.7063;6.7277;RCP4.5;H2;0;57;-14;
6547;44.7023;6.8284;RCP4.5;H2;1.88;54;-15;
6548;44.6981;6.9292;RCP4.5;H2;1.89;53;-16;
6549;44.6939;7.0299;RCP4.5;H2;0;45;-17;
6611;44.8106;-1.1519;RCP4.5;H2;1.39;29;-11;
6612;44.8138;-1.0509;RCP4.5;H2;3.31;30;-13;
6613;44.8168;-0.9499;RCP4.5;H2;3.25;31;-12;
6614;44.8198;-0.8489;RCP4.5;H2;3.15;31;-12;
6615;44.8226;-0.7479;RCP4.5;H2;3.15;32;-12;
6616;44.8254;-0.6469;RCP4.5;H2;3.61;33;-13;
6617;44.8281;-0.5458;RCP4.5;H2;3.89;34;-12;
6618;44.8307;-0.4448;RCP4.5;H2;3.82;35;-14;
6619;44.8332;-0.3437;RCP4.5;H2;3.85;36;-14;
6620;44.8356;-0.2426;RCP4.5;H2;4.48;36;-13;
6621;44.8379;-0.1416;RCP4.5;H2;4.79;37;-14;
6622;44.8401;-0.0405;RCP4.5;H2;4.67;37;-14;
6623;44.8423;0.0606;RCP4.5;H2;4.45;38;-14;
6624;44.8443;0.1617;RCP4.5;H2;4.79;37;-14;
6625;44.8463;0.2628;RCP4.5;H2;4.9;38;-14;
6626;44.8481;0.3639;RCP4.5;H2;4.87;39;-15;
